KT119784	#cc3333	dog
MN196564	#cc3333	dog
KY553266	#3343cc	Civettictis civetta
AY354015	#9acc99	Canis
FJ465394	#ccac33	Ovis aries
KC535506	#cc3333	dog
MK598393	#99aacc	Vulpes vulpes
MK598343	#99aacc	Vulpes vulpes
KX148160	#69cc33	Homo sapiens
MK598342	#99aacc	Vulpes vulpes
ON366710	#999ccc	Felis catus
KC595280	#99aacc	Vulpes vulpes
MK760712	#b999cc	jackal
KT728348	#69cc33	Homo sapiens
KT119775	#cc3333	dog
KT119783	#cc3333	dog
KT119782	#999ccc	Felis catus
HM368143	#cc3333	dog
FJ947007	#c0cc33	Capra hircus
KX148199	#b999cc	jackal
KX148198	#cc3333	dog
EU643558	#cc3333	dog
EU643561	#cc3333	dog
EU643559	#cc3333	dog
EU643560	#cc3333	dog
GU798259	#cc3333	dog
GU798260	#cc3333	dog
AY854666	#69cc33	Homo sapiens
KX148194	#cc3333	dog
EU853571	#69cc33	Homo sapiens
GU798110	#69cc33	Homo sapiens
GU798554	#cc3333	dog
GU798298	#cc6a66	-
U22643	#cc6a66	-
GU798109	#cc8766	Ovis
GU798266	#c8cc66	Bos taurus
MN991294	#cc3333	dog
MN991295	#cc3333	dog
KC787062	#999ccc	Felis catus
KC787061	#999ccc	Felis catus
KC787064	#cc6c33	Sus scrofa
KC787066	#69cc33	Homo sapiens
KC787065	#69cc33	Homo sapiens
KX148209	#cc3333	dog
KC787071	#999ccc	Felis catus
KC787070	#cc3333	dog
LC683178	#cc3333	dog
LC682832	#cc3333	dog
LC682833	#cc3333	dog
LC682851	#cc3333	dog
LC682848	#c8cc66	Bos taurus
LC682840	#cc3333	dog
LC682837	#cc3333	dog
LC682846	#cc3333	dog
LC682853	#cc3333	dog
LC682850	#c8cc66	Bos taurus
LC682831	#cc3333	dog
LC380115	#cc3333	dog
DQ194880	#cc3333	dog
EU478499	#cc3333	dog
EU827271	#cc3333	dog
EU478522	#cc3333	dog
EU478519	#cc3333	dog
EU478521	#cc3333	dog
EU827277	#cc3333	dog
EU478517	#cc3333	dog
EU827273	#cc3333	dog
EU514571	#cc3333	dog
FJ545682	#95cc33	dromedary
EU853642	#c0cc33	Capra hircus
EU853625	#cc3333	dog
EU853626	#69cc33	Homo sapiens
FJ545664	#cc99c8	camel
FJ545666	#cc3333	dog
KP976125	#cc3333	dog
FJ545672	#cc3333	dog
U22646	#cc3333	dog
MN049980	#cc3333	dog
EU888770	#cc3333	dog
KU055555	#cc3333	dog
HM368095	#cc3333	dog
HM368116	#cc3333	dog
HM368119	#cc3333	dog
EU888647	#cc3333	dog
EU888648	#cc3333	dog
EU853651	#cc3333	dog
KT119754	#cc3333	dog
KF734709	#cc3333	dog
KF734710	#cc3333	dog
EU038108	#cc3333	dog
EU038109	#cc3333	dog
KF022170	#cc3333	dog
EU888714	#cc3333	dog
KX148241	#cc3333	dog
KU564993	#cc3333	dog
DQ275561	#cc3333	dog
EU888729	#cc3333	dog
FJ435703	#cc3333	dog
FJ545671	#cc3333	dog
FJ545675	#cc3333	dog
U22635	#999ccc	Felis catus
U22634	#cc3333	dog
KX148242	#cc3333	dog
MN196560	#cc3333	dog
FJ392367	#66cc84	feline
FJ392391	#cc5633	Galerella sanguinea
KX148219	#6684cc	honey badger
KU739041	#6684cc	honey badger
KU055532	#999ccc	Felis catus
KU055533	#6684cc	honey badger
JN162080	#99ccac	25685866
AF079923	#cc339e	Cynictis penicillata
AF079921	#cc339e	Cynictis penicillata
AY354011	#cc666a	Suricata suricatta
FJ465387	#cc5633	Galerella sanguinea
HQ266617	#cc339e	Cynictis penicillata
JN162084	#99ccac	25685866
AY354000	#ccbc99	Genetta genetta
AY354001	#9acc99	Canis
JQ692997	#ccac33	Ovis aries
AY354003	#cc666a	Suricata suricatta
JQ692982	#c8cc66	Bos taurus
FJ392373	#cc5633	Galerella sanguinea
JQ692992	#cc339e	Cynictis penicillata
MK598355	#99aacc	Vulpes vulpes
MK598356	#99aacc	Vulpes vulpes
KX148136	#99aacc	Vulpes vulpes
KX148139	#99aacc	Vulpes vulpes
KX148123	#99aacc	Vulpes vulpes
KX148135	#99aacc	Vulpes vulpes
KT119771	#cc3333	dog
KT119777	#cc3333	dog
MW553269	#69cc33	Homo sapiens
MW553270	#69cc33	Homo sapiens
MF537573	#cc3333	dog
HM368133	#cc3333	dog
MZ418094	#cc3333	dog
MZ418093	#cc3333	dog
MZ418091	#cc3333	dog
MZ418092	#cc3333	dog
MZ418086	#cc3333	dog
FJ947027	#cc99c8	camel
EU853573	#69cc33	Homo sapiens
GU798105	#69cc33	Homo sapiens
EU853574	#69cc33	Homo sapiens
EU853579	#69cc33	Homo sapiens
GU798108	#69cc33	Homo sapiens
AY245852	#cc3333	dog
EU643588	#cc3333	dog
GU798389	#69cc33	Homo sapiens
GU798429	#cc3333	dog
GU798430	#cc4133	Bos
GU798448	#cc99ba	Felis silvestris catus
GU798396	#cc8766	Ovis
LT909535	#66ccbd	29357361
GU798548	#69cc33	Homo sapiens
GU798549	#cc3333	dog
M81060	#cc6a66	-
EU853566	#69cc33	Homo sapiens
MN991297	#cc3333	dog
DQ420624	#69cc33	Homo sapiens
KU055519	#69cc33	Homo sapiens
LC380104	#cc3333	dog
KP257624	#cc3333	dog
JQ691419	#6233cc	Canis mesomelas (Jackal)
KX148206	#cc3333	dog
DQ900570	#3359cc	small-spotted genet
EU478503	#cc3333	dog
EU478504	#999ccc	Felis catus
EU478510	#cc3333	dog
EU478523	#cc3333	dog
EU827270	#cc3333	dog
EU853650	#cc3333	dog
EU478524	#cc3333	dog
KR080521	#cc3333	dog
U22640	#cc3333	dog
EU888743	#cc3333	dog
EU514572	#cc3333	dog
EU853643	#69cc33	Homo sapiens
EU853622	#cc3333	dog
EU853614	#cc3333	dog
KP345881	#69cc33	Homo sapiens
EU853615	#cc3333	dog
EU888745	#cc3333	dog
EU888754	#cc3333	dog
EU888780	#cc3333	dog
EU888788	#cc3333	dog
EU514581	#cc3333	dog
MK471248	#cc3333	dog
MF538629	#cc3333	dog
KT119778	#cc3333	dog
EU853652	#cc3333	dog
MN196561	#cc3333	dog
MN196562	#cc3333	dog
JQ692998	#c8cc66	Bos taurus
AY354014	#999ccc	Felis catus
JF327504	#cc3333	dog
JF327505	#cc3333	dog
JN162086	#99ccac	25685866
AY354013	#cc666a	Suricata suricatta
AY354012	#cc339e	Cynictis penicillata
AF079925	#cc339e	Cynictis penicillata
GQ983487	#bacc66	Herpestes
AF079926	#cc339e	Cynictis penicillata
AF079927	#6675cc	Canis mesomelas
AY354002	#cc6687	Atilax paludinosus
AF079933	#cccb99	15763147
KX148116	#99aacc	Vulpes vulpes
LN879481	#99aacc	Vulpes vulpes
GU815999	#cc3333	dog
AF325468	#cc6a66	-
KX148202	#cc3333	dog
KT119785	#cc3333	dog
AF325470	#cc6a66	-
